,Last Refresh: 2024-06-19 18:22:06,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Exclusive,Asc
Include Weekend,ALL, 
Term,43828,Current(20240619)
Symbol,I.201,
Symbol Name,코스닥,
Kind,IDX,
Item,I31000150F,
Item Name,수익률(%),
Frequency,DAILY,
1/2/20,0.63,
1/3/20,-0.61,
1/6/20,-2.18,
1/7/20,1.24,
1/8/20,-3.39,
1/9/20,3.92,
1/10/20,1.04,
1/13/20,0.92,
1/14/20,-0.08,
1/15/20,0.07,
1/16/20,1.08,
1/17/20,0.28,
1/20/20,-0.72,
1/21/20,-1.02,
1/22/20,1.73,
1/23/20,-0.39,
1/28/20,-3.04,
1/29/20,0.82,
1/30/20,-2.06,
1/31/20,-2.12,
2/3/20,0.68,
2/4/20,2.22,
2/5/20,0.01,
2/6/20,1.72,
2/7/20,-0.01,
2/10/20,0.51,
2/11/20,0.93,
2/12/20,0.62,
2/13/20,0.15,
2/14/20,0.19,
2/17/20,0.53,
2/18/20,-1.4,
2/19/20,0.27,
2/20/20,-0.46,
2/21/20,-2.01,
2/24/20,-4.3,
2/25/20,2.76,
2/26/20,-0.35,
2/27/20,-2.51,
2/28/20,-4.3,
3/2/20,2.77,
3/3/20,-0.13,
3/4/20,2.38,
3/5/20,1.32,
3/6/20,-1.15,
3/9/20,-4.38,
3/10/20,0.87,
3/11/20,-3.93,
3/12/20,-5.39,
3/13/20,-7.01,
3/16/20,-3.72,
3/17/20,2.03,
3/18/20,-5.75,
3/19/20,-11.71,
3/20/20,9.2,
3/23/20,-5.13,
3/24/20,8.26,
3/25/20,5.26,
3/26/20,2.16,
3/27/20,1.2,
3/30/20,3.69,
3/31/20,4.97,
4/1/20,0.37,
4/2/20,-0.59,
4/3/20,-2.14,
4/6/20,-2.9,
4/7/20,1.52,
4/8/20,-1.49,
4/9/20,-1.07,
4/10/20,2.21,
4/13/20,-0.82,
4/14/20,-1.21,
4/16/20,-1.39,
4/17/20,-1.46,
4/20/20,-1.06,
4/21/20,2.66,
4/22/20,-1.65,
4/23/20,-2.91,
4/24/20,-2.84,
4/27/20,-0.83,
4/28/20,-3.73,
4/29/20,2.78,
5/4/20,2.15,
5/6/20,1.26,
5/7/20,-0.38,
5/8/20,-0.46,
5/11/20,1.7,
5/12/20,-1.63,
5/13/20,-2.04,
5/14/20,-2.81,
5/15/20,-1.51,
5/18/20,4.55,
5/19/20,-0.45,
5/20/20,0.86,
5/21/20,0.29,
5/22/20,-1.83,
5/25/20,1.06,
5/26/20,-3.32,
5/27/20,2.92,
5/28/20,0.93,
5/29/20,1.63,
6/1/20,1.88,
6/2/20,-1.25,
6/3/20,-2.16,
6/4/20,-1.29,
6/5/20,2.18,
6/8/20,0.3,
6/9/20,-2.16,
6/10/20,-0.14,
6/11/20,2.36,
6/12/20,2.5,
6/15/20,0.97,
6/16/20,-0.49,
6/17/20,0.68,
6/18/20,0.64,
6/19/20,0.13,
6/22/20,0.32,
6/23/20,-0.81,
6/24/20,1.16,
6/25/20,0.13,
6/26/20,0.58,
6/29/20,-0.42,
6/30/20,0.72,
7/1/20,0.54,
7/2/20,-0.98,
7/3/20,-1.61,
7/6/20,0.73,
7/7/20,-1.38,
7/8/20,-0.87,
7/9/20,1.48,
7/10/20,0.08,
7/13/20,-0.38,
7/14/20,-0.67,
7/15/20,1.45,
7/16/20,-0.28,
7/17/20,0.08,
7/20/20,-0.74,
7/21/20,-2.49,
7/22/20,1.26,
7/23/20,-1.64,
7/24/20,-0.44,
7/27/20,1.4,
7/28/20,-0.32,
7/29/20,0.64,
7/30/20,-0.83,
7/31/20,-1.76,
8/3/20,-2.64,
8/4/20,-0.55,
8/5/20,1.19,
8/6/20,-3.77,
8/7/20,2.33,
8/10/20,0.37,
8/11/20,1.14,
8/12/20,0.65,
8/13/20,-0.89,
8/14/20,1.86,
8/18/20,0.42,
8/19/20,-2.1,
8/20/20,0.88,
8/21/20,-0.14,
8/24/20,0.29,
8/25/20,1.43,
8/26/20,0.78,
8/27/20,-0.25,
8/28/20,0.04,
8/31/20,-1.99,
9/1/20,0.13,
9/2/20,0.25,
9/3/20,-0.83,
9/4/20,-4.72,
9/7/20,-0.63,
9/8/20,-2.93,
9/9/20,0.34,
9/10/20,-0.43,
9/11/20,-3.6,
9/14/20,1.09,
9/15/20,-4.03,
9/16/20,-4.36,
9/17/20,5.03,
9/18/20,2.71,
9/21/20,-0.14,
9/22/20,-0.93,
9/23/20,-2.22,
9/24/20,-2.14,
9/25/20,-0.93,
9/28/20,3.9,
9/29/20,-0.84,
10/5/20,1.79,
10/6/20,1.12,
10/7/20,0.07,
10/8/20,-2.12,
10/12/20,1.65,
10/13/20,0.38,
10/14/20,-0.48,
10/15/20,1.88,
10/16/20,0.72,
10/19/20,1.07,
10/20/20,0.56,
10/21/20,-0.68,
10/22/20,-0.01,
10/23/20,0.03,
10/26/20,0.73,
10/27/20,0.33,
10/28/20,0.66,
10/29/20,0.5,
10/30/20,-0.4,
11/2/20,1.37,
11/3/20,1.2,
11/4/20,0.79,
11/5/20,-0.09,
11/6/20,0.34,
11/9/20,-1.6,
11/10/20,1.45,
11/11/20,-0.06,
11/12/20,0.37,
11/13/20,-0.88,
11/16/20,-0.16,
11/17/20,-1.44,
11/18/20,-2.25,
11/19/20,-1.56,
11/20/20,1.24,
11/23/20,1.79,
11/24/20,-0.61,
11/25/20,-2.81,
11/26/20,2.2,
11/27/20,1.26,
11/30/20,-2.32,
12/1/20,-0.31,
12/2/20,-1.84,
12/3/20,1.04,
12/4/20,-1.45,
12/7/20,1.25,
12/8/20,2.44,
12/9/20,-1.74,
12/10/20,-0.2,
12/11/20,-1.45,
12/14/20,-2.35,
12/15/20,1.12,
12/16/20,-0.72,
12/17/20,-0.46,
12/18/20,-2.93,
12/21/20,-5.07,
12/22/20,0.83,
12/23/20,-3.47,
12/24/20,0.18,
12/28/20,-0.36,
12/29/20,3.59,
12/30/20,-1.64,
1/4/21,3.02,
1/5/21,-1.07,
1/6/21,-4.15,
1/7/21,0.32,
1/8/21,-2.99,
1/11/21,4.09,
1/12/21,0.55,
1/13/21,2.21,
1/14/21,-0.94,
1/15/21,-1.47,
1/18/21,-0.88,
1/19/21,2.08,
1/20/21,0.05,
