,Last Refresh: 2024-06-13 00:19:27,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Exclusive,Asc
Include Weekend,ALL, 
Term,19800101,Current(20240612)
Symbol,I.001,
Symbol Name,코스피,
Kind,IDX,
Item,I31000150F,
Item Name,수익률(%),
Frequency,DAILY,
4/1/20,-3.94,
4/2/20,2.34,
4/3/20,0.03,
4/6/20,3.85,
4/7/20,1.77,
4/8/20,-0.9,
4/9/20,1.61,
4/10/20,1.33,
4/13/20,-1.88,
4/14/20,1.72,
4/16/20,0,
4/17/20,3.09,
4/20/20,-0.84,
4/21/20,-1,
4/22/20,0.89,
4/23/20,0.98,
4/24/20,-1.34,
4/27/20,1.79,
4/28/20,0.59,
4/29/20,0.7,
5/4/20,-2.68,
5/6/20,1.76,
5/7/20,-0.01,
5/8/20,0.89,
5/11/20,-0.54,
5/12/20,-0.68,
5/13/20,0.95,
5/14/20,-0.8,
5/15/20,0.12,
5/18/20,0.51,
5/19/20,2.25,
5/20/20,0.46,
5/21/20,0.44,
5/22/20,-1.41,
5/25/20,1.24,
5/26/20,1.76,
5/27/20,0.07,
5/28/20,-0.13,
5/29/20,0.05,
6/1/20,1.75,
6/2/20,1.07,
6/3/20,2.87,
6/4/20,0.19,
6/5/20,1.43,
6/8/20,0.11,
6/9/20,0.21,
6/10/20,0.31,
6/11/20,-0.86,
6/12/20,-2.04,
6/15/20,-4.76,
6/16/20,5.28,
6/17/20,0.14,
6/18/20,-0.35,
6/19/20,0.37,
6/22/20,-0.68,
6/23/20,0.21,
6/24/20,1.42,
6/25/20,-2.27,
6/26/20,1.05,
6/29/20,-1.93,
6/30/20,0.71,
7/1/20,-0.08,
7/2/20,1.36,
7/3/20,0.8,
7/6/20,1.65,
7/7/20,-1.09,
7/8/20,-0.24,
7/9/20,0.42,
7/10/20,-0.81,
7/13/20,1.67,
7/14/20,-0.11,
7/15/20,0.84,
7/16/20,-0.82,
7/17/20,0.8,
7/20/20,-0.14,
7/21/20,1.39,
7/22/20,-0.01,
7/23/20,-0.56,
7/24/20,-0.71,
7/27/20,0.79,
7/28/20,1.76,
7/29/20,0.27,
7/30/20,0.17,
7/31/20,-0.78,
8/3/20,0.07,
8/4/20,1.29,
8/5/20,1.4,
8/6/20,1.33,
8/7/20,0.39,
8/10/20,1.48,
8/11/20,1.35,
8/12/20,0.57,
8/13/20,0.21,
8/14/20,-1.23,
8/18/20,-2.46,
8/19/20,0.52,
8/20/20,-3.66,
8/21/20,1.34,
8/24/20,1.1,
8/25/20,1.58,
8/26/20,0.11,
8/27/20,-1.05,
8/28/20,0.4,
8/31/20,-1.17,
9/1/20,1.01,
9/2/20,0.63,
9/3/20,1.33,
9/4/20,-1.15,
9/7/20,0.67,
9/8/20,0.74,
9/9/20,-1.09,
9/10/20,0.87,
9/11/20,0.01,
9/14/20,1.3,
9/15/20,0.65,
9/16/20,-0.31,
9/17/20,-1.22,
9/18/20,0.26,
9/21/20,-0.95,
9/22/20,-2.38,
9/23/20,0.03,
9/24/20,-2.59,
9/25/20,0.27,
9/28/20,1.29,
9/29/20,0.86,
10/5/20,1.29,
10/6/20,0.34,
10/7/20,0.89,
10/8/20,0.21,
10/12/20,0.49,
10/13/20,-0.02,
10/14/20,-0.94,
10/15/20,-0.81,
10/16/20,-0.83,
10/19/20,0.22,
10/20/20,0.5,
10/21/20,0.53,
10/22/20,-0.67,
10/23/20,0.24,
10/26/20,-0.72,
10/27/20,-0.56,
10/28/20,0.62,
10/29/20,-0.79,
10/30/20,-2.56,
11/2/20,1.46,
11/3/20,1.88,
11/4/20,0.6,
11/5/20,2.4,
11/6/20,0.11,
11/9/20,1.27,
11/10/20,0.23,
11/11/20,1.35,
11/12/20,-0.41,
11/13/20,0.74,
11/16/20,1.97,
11/17/20,-0.15,
11/18/20,0.26,
11/19/20,0.07,
11/20/20,0.24,
11/23/20,1.92,
11/24/20,0.58,
11/25/20,-0.62,
11/26/20,0.94,
11/27/20,0.29,
11/30/20,-1.6,
12/1/20,1.66,
12/2/20,1.58,
12/3/20,0.76,
12/4/20,1.31,
12/7/20,0.51,
12/8/20,-1.62,
12/9/20,2.02,
12/10/20,-0.33,
12/11/20,0.86,
12/14/20,-0.28,
12/15/20,-0.19,
12/16/20,0.54,
12/17/20,-0.05,
12/18/20,0.06,
12/21/20,0.23,
12/22/20,-1.62,
12/23/20,0.96,
12/24/20,1.7,
12/28/20,0.06,
12/29/20,0.42,
12/30/20,1.88,
1/4/21,2.47,
1/5/21,1.57,
1/6/21,-0.75,
1/7/21,2.14,
1/8/21,3.97,
1/11/21,-0.12,
1/12/21,-0.71,
1/13/21,0.71,
1/14/21,0.05,
1/15/21,-2.03,
1/18/21,-2.33,
1/19/21,2.61,
1/20/21,0.71,
1/21/21,1.49,
1/22/21,-0.64,
1/25/21,2.18,
1/26/21,-2.14,
1/27/21,-0.57,
1/28/21,-1.71,
1/29/21,-3.03,
2/1/21,2.7,
2/2/21,1.32,
2/3/21,1.06,
2/4/21,-1.35,
2/5/21,1.07,
2/8/21,-0.94,
2/9/21,-0.21,
2/10/21,0.52,
2/15/21,1.5,
2/16/21,0.52,
2/17/21,-0.93,
2/18/21,-1.5,
2/19/21,0.68,
2/22/21,-0.9,
2/23/21,-0.31,
2/24/21,-2.45,
2/25/21,3.5,
2/26/21,-2.8,
3/2/21,1.03,
3/3/21,1.29,
3/4/21,-1.28,
3/5/21,-0.57,
3/8/21,-1,
3/9/21,-0.67,
3/10/21,-0.6,
3/11/21,1.88,
3/12/21,1.35,
3/15/21,-0.28,
3/16/21,0.7,
3/17/21,-0.64,
3/18/21,0.61,
3/19/21,-0.86,
3/22/21,-0.13,
3/23/21,-1.01,
3/24/21,-0.28,
3/25/21,0.4,
3/26/21,1.09,
3/29/21,-0.16,
3/30/21,1.12,
3/31/21,-0.28,
4/1/21,0.85,
4/2/21,0.82,
4/5/21,0.26,
4/6/21,0.2,
4/7/21,0.33,
4/8/21,0.19,
4/9/21,-0.36,
4/12/21,0.12,
4/13/21,1.07,
4/14/21,0.42,
4/15/21,0.38,
4/16/21,0.13,
4/19/21,0.01,
4/20/21,0.68,
4/21/21,-1.52,
4/22/21,0.18,
4/23/21,0.27,
4/26/21,0.99,
4/27/21,-0.07,
